%year	month	day	sea-air CO2 flux (mmol m^-2 d^-1)
2018	9	24	-0.54
2018	9	25	-0.29
2018	9	26	-1.10
2018	9	27	-2.24
2018	9	28	-0.27
2018	9	29	-0.22
2018	9	30	-0.75
2018	10	1	-0.58
2018	10	2	-4.29
2018	10	3	-0.66
2018	10	4	-0.20
2018	10	5	-0.02
2018	10	6	0.09
2018	10	7	0.94
2018	10	8	0.04
2018	10	9	0.15
2018	10	10	0.25
2018	10	11	0.23
2018	10	12	0.31
2018	10	13	0.85
2018	10	14	0.39
2018	10	15	0.25
2018	10	16	0.06
2018	10	17	-0.01
2018	10	18	-0.33
2018	10	19	-0.11
2018	10	20	-1.77
2018	10	21	-0.64
2018	10	22	-0.25
